lat,lon,class,data,site,,
33.4,118.6,lake,63,Hongze Lake,,
31.5,120.5,lake,28,Yangcheng Lake,,
33.5,120.5,lake,256,Taihu Lake,,
24.9,102.7,lake,48,Dianchi Lake,,
26.5,106.4,lake,21,Hongfeng Lake,,
40.9,108.9,lake,68,Wuliangsuhai Lake,,
31.5,117.6,lake,37,Chao Lake,,
24.8,121.3,lake,6,Cihu Lake,,
24.8,104.9,lake,8,Wanfeng Lake,,
30,114.2,lake,6,Luhu Lake,,
43.6,126.8,lake,6,Songhua Lake,,
25.8,100.2,lake,125,Erhai Lake,,
29.6,119,lake,52,Qiandao Lake,,
29.3,113.1,lake,8,Nanhu Lake,,
31.2,120.9,lake,4,Dianshan Lake,,
28.9,112.6,lake,25,Dongting Lake,,
32.6,110.8,lake,72,Danjiangkou,,
29.8,121.7,lake,3,Dongqian lake,jing47,
31.6,120.7,lake,6,Kunchenghu,chen43,
30.6,114.2,lake,9,Simeitang lake,wu19,
30,115,lake,27,Lakes in the middle and lower reaches of Yangtze River,zhu10,
30.5,114.4,lake,18,Luoyandao lake,Pei55,
39.2,117.8,lake,34,Qingjiang lake,Xiong13,zheng33
24.2,102.8,lake,1,Qilu lake,liu 32,
30.2,119.8,lake,12,Qinshan lake,zhang44,
38.8,106.3,lake,4,Shahu lake,qiu27,
31.7,120.7,lake,1,Shanghu lake,chen43,
43.9,125.3,lake,11,South lake changchun,peng23,
39.1,117.2,lake,1,Tianjin park lake,jia42,
31.8,116.5,lake,7,wapu lake,wang14,
34.6,117.2,lake,10,weishan lake,chen29,
48.6,126.2,lake,10,wudalianchi lake,wang51,
24.5,102,lake,12,xingyun lake,liu 5,
31.5,120.3,lake,6,wuli lake,zhang 28,
25,105,lake,25,yungui plateau lake,hou21,
30,110,lake,1,yuandanghu lake,chen43,
31.6,119.6,lake,1,changdanghu,chen43,
31.1,121,lake,9,dalian lake,Tan9,
30,110,lake,5,Eastern plain ecoregion lakes,,hou22
31.6,119.8,lake,1,gehu lake,chen43,
31.4,120.9,lake,1,kuileihu lake,chen43,
32.9,119.3,lake,8,lakes of  jiangsu,HU59,
